chunk,Question,Option_A,Option_B,Option_C,Option_D,Answer_Key
"الحيوانات جميعها متعددة الخلايا، حقيقية النوى، غير ذاتية التغذي. وليس
للخلايا الحيوانية جدار خلوي. وهي منظمة في أنسجة، ومعظم الأنسجة منظمة في
أعضاء كالكبد والمعدة والدماغ. وغالباً ما تنظم أعضاء الحيوان في أجهزة،
ومنها الجهاز الهضمي والدوري والعصبي. تتباين الحيوانات في أحجامها، وهي
تعيش في الماء والهواء وعلى اليابسة. ومعظم الحيوانات متحركة، وبعضها
كالمرجان - المنتشر في البحر الأحمر والخليج العربي - لا يتحرك عندما يكتمل
نموه. لقد تم تعرف أكثر من مليون نوع حيواني. يبين الشكل 2-9 بعض المخلوقات",ما هو نوع الخلايا التي تشكل الحيوانات؟,بدائية النوى,حقيقية النوى,خلايا نباتية,خلايا فطرية,B
"الحيوانات جميعها متعددة الخلايا، حقيقية النوى، غير ذاتية التغذي. وليس
للخلايا الحيوانية جدار خلوي. وهي منظمة في أنسجة، ومعظم الأنسجة منظمة في
أعضاء كالكبد والمعدة والدماغ. وغالباً ما تنظم أعضاء الحيوان في أجهزة،
ومنها الجهاز الهضمي والدوري والعصبي. تتباين الحيوانات في أحجامها، وهي
تعيش في الماء والهواء وعلى اليابسة. ومعظم الحيوانات متحركة، وبعضها
كالمرجان - المنتشر في البحر الأحمر والخليج العربي - لا يتحرك عندما يكتمل
نموه. لقد تم تعرف أكثر من مليون نوع حيواني. يبين الشكل 2-9 بعض المخلوقات",ما هي الأنسجة التي تتكون منها الحيوانات؟,أنسجة نباتية فقط,أنسجة حيوانية فقط,أنسجة متعددة مثل العضلات والأعصاب,أنسجة فطرية فقط,C
"الحيوانات جميعها متعددة الخلايا، حقيقية النوى، غير ذاتية التغذي. وليس
للخلايا الحيوانية جدار خلوي. وهي منظمة في أنسجة، ومعظم الأنسجة منظمة في
أعضاء كالكبد والمعدة والدماغ. وغالباً ما تنظم أعضاء الحيوان في أجهزة،
ومنها الجهاز الهضمي والدوري والعصبي. تتباين الحيوانات في أحجامها، وهي
تعيش في الماء والهواء وعلى اليابسة. ومعظم الحيوانات متحركة، وبعضها
كالمرجان - المنتشر في البحر الأحمر والخليج العربي - لا يتحرك عندما يكتمل
نموه. لقد تم تعرف أكثر من مليون نوع حيواني. يبين الشكل 2-9 بعض المخلوقات",أي من الأجهزة التالية هو جزء من تركيب الحيوانات؟,الجهاز الهضمي,الجهاز العصبي,الجهاز الدوري,كل ما سبق,D
"الفيروسات – حالة استثنائية Viruses an exception عندما يصاب أحدنا بالزكام
أو بالأنفلونزا فإنه قد أصيب بفيروس. الفيروس حمض نووي محاط بغلاف من
البروتين. وليس للفيروسات خلايا، وهي ليست خلايا في ذاتها، و لا تعد حية.
ولأنها غير حية فإنها لا تدخل – عادة – في أنظمة تصنيف المخلوقات الحية.
لقد وجد علماء الفيروسات نظام تصنيف خاصاً لوضع الفيروسات في مجموعات.
وستتعلم المزيد عنها في الفصل الآتي.

الدرس ٢-١ : تاريخ التصنيف",ما هو المكون الرئيسي الذي يحيط بالفيروس؟,حمض نووي,غلاف من البروتين,غلاف من الدهون,غلاف من الكربوهيدرات,B
"الفيروسات – حالة استثنائية Viruses an exception عندما يصاب أحدنا بالزكام
أو بالأنفلونزا فإنه قد أصيب بفيروس. الفيروس حمض نووي محاط بغلاف من
البروتين. وليس للفيروسات خلايا، وهي ليست خلايا في ذاتها، و لا تعد حية.
ولأنها غير حية فإنها لا تدخل – عادة – في أنظمة تصنيف المخلوقات الحية.
لقد وجد علماء الفيروسات نظام تصنيف خاصاً لوضع الفيروسات في مجموعات.
وستتعلم المزيد عنها في الفصل الآتي.

الدرس ٢-١ : تاريخ التصنيف",لماذا لا تعتبر الفيروسات كائنات حية؟,لأنها لا تحتوي على خلايا,لأنها تحتوي على بروتين فقط,لأنها تحتاج إلى مضيف للتكاثر,لأنها تتكاثر ببطء,A
"الفيروسات – حالة استثنائية Viruses an exception عندما يصاب أحدنا بالزكام
أو بالأنفلونزا فإنه قد أصيب بفيروس. الفيروس حمض نووي محاط بغلاف من
البروتين. وليس للفيروسات خلايا، وهي ليست خلايا في ذاتها، و لا تعد حية.
ولأنها غير حية فإنها لا تدخل – عادة – في أنظمة تصنيف المخلوقات الحية.
لقد وجد علماء الفيروسات نظام تصنيف خاصاً لوضع الفيروسات في مجموعات.
وستتعلم المزيد عنها في الفصل الآتي.

الدرس ٢-١ : تاريخ التصنيف",أي من التالي يعتبر نظام تصنيف خاص للفيروسات؟,نظام تصنيف الكائنات الحية,نظام تصنيف الفطريات,نظام تصنيف خاص للفيروسات,نظام تصنيف النباتات,C
"الفكرة الرئيسية: يستخدم علماء الأحياء نظامًا دقيقًا للتصنيف لتنظيم هذا
الكم الكبير من المعلومات المتعلقة بتنوع المخلوقات الحية.

الربط مع الحياة: بم تشعر إذا لعب أخوك الصغير في أقراصك المدمجة، فخلطها
جميعًا بعد أن أخرجها من أغلفتها؟ من المؤكد أن ذلك سوف يزعجك؛ لأن عليك أن
تستعرضها قرصًا لتجد ما تريد، ولكي تصنفها من جديد. وكما تصنف الأقراص
المدمجة في مجموعات بناءً على نوعها ومحتواها فإن علماء الأحياء يصنفون
المخلوقات الحية في مجموعات تبعًا لخصائصها وتركيبها.

أهمية التصنيف",ما هو الهدف الرئيسي من تصنيف المخلوقات الحية؟,تنظيم المعلومات عن تنوع المخلوقات الحية,زيادة عدد المخلوقات الحية,تحديد مكان المخلوقات الحية,تسهيل عملية الصيد,A
"الفكرة الرئيسية: يستخدم علماء الأحياء نظامًا دقيقًا للتصنيف لتنظيم هذا
الكم الكبير من المعلومات المتعلقة بتنوع المخلوقات الحية.

الربط مع الحياة: بم تشعر إذا لعب أخوك الصغير في أقراصك المدمجة، فخلطها
جميعًا بعد أن أخرجها من أغلفتها؟ من المؤكد أن ذلك سوف يزعجك؛ لأن عليك أن
تستعرضها قرصًا لتجد ما تريد، ولكي تصنفها من جديد. وكما تصنف الأقراص
المدمجة في مجموعات بناءً على نوعها ومحتواها فإن علماء الأحياء يصنفون
المخلوقات الحية في مجموعات تبعًا لخصائصها وتركيبها.

أهمية التصنيف",كيف يشبه تصنيف الأقراص المدمجة تصنيف المخلوقات الحية؟,كلاهما يعتمد على اللون فقط,كلاهما يعتمد على الخصائص والتركيب,كلاهما يعتمد على الحجم فقط,كلاهما يعتمد على الشكل الخارجي فقط,B
"الفكرة الرئيسية: يستخدم علماء الأحياء نظامًا دقيقًا للتصنيف لتنظيم هذا
الكم الكبير من المعلومات المتعلقة بتنوع المخلوقات الحية.

الربط مع الحياة: بم تشعر إذا لعب أخوك الصغير في أقراصك المدمجة، فخلطها
جميعًا بعد أن أخرجها من أغلفتها؟ من المؤكد أن ذلك سوف يزعجك؛ لأن عليك أن
تستعرضها قرصًا لتجد ما تريد، ولكي تصنفها من جديد. وكما تصنف الأقراص
المدمجة في مجموعات بناءً على نوعها ومحتواها فإن علماء الأحياء يصنفون
المخلوقات الحية في مجموعات تبعًا لخصائصها وتركيبها.

أهمية التصنيف",ما هي العواقب المحتملة إذا لم يتم تصنيف المعلومات بشكل صحيح؟,سهولة الوصول إلى المعلومات,زيادة الفوضى وصعوبة العثور على المعلومات,تحسين تنظيم المعلومات,تقليل عدد المخلوقات الحية,B
"أهمية التصنيف

يرى العلماء أن ترتيب الأشياء أو المعلومات يسهل فهمها والعثور عليها. وأن
التواصل العلمي وتبادل المعلومات المتعلقة بالمخلوقات الحية يكون أسهل
عندما تصنف هذه المخلوقات الحية في مجموعات التصنيف. classification وضع
الأشياء أو المخلوقات الحية في مجموعات بناءً على مجموعة من الخصائص.",ما هي أهمية التصنيف في العلوم؟,يسهل فهم المعلومات والعثور عليها,يؤدي إلى زيادة التعقيد,يمنع التواصل بين العلماء,يقلل من أهمية الكائنات الحية,A
"أهمية التصنيف

يرى العلماء أن ترتيب الأشياء أو المعلومات يسهل فهمها والعثور عليها. وأن
التواصل العلمي وتبادل المعلومات المتعلقة بالمخلوقات الحية يكون أسهل
عندما تصنف هذه المخلوقات الحية في مجموعات التصنيف. classification وضع
الأشياء أو المخلوقات الحية في مجموعات بناءً على مجموعة من الخصائص.",ما هو الهدف من تصنيف المخلوقات الحية؟,تحديد مواقعها الجغرافية,تسهيل التواصل وتبادل المعلومات,زيادة عدد الأنواع المكتشفة,فهم سلوكها فقط,B
"أهمية التصنيف

يرى العلماء أن ترتيب الأشياء أو المعلومات يسهل فهمها والعثور عليها. وأن
التواصل العلمي وتبادل المعلومات المتعلقة بالمخلوقات الحية يكون أسهل
عندما تصنف هذه المخلوقات الحية في مجموعات التصنيف. classification وضع
الأشياء أو المخلوقات الحية في مجموعات بناءً على مجموعة من الخصائص.",كيف يتم تصنيف المخلوقات الحية؟,بناءً على الشكل فقط,بناءً على مجموعة من الخصائص,بناءً على حجمها فقط,بناءً على لونها فقط,B
"ويكتسب التصنيف أهمية خاصة عند دراسة المخلوقات الحية؛ بسبب كثرتها وتنوعها
المذهل، مما يدفع العلماء ليبحثوا في صفاتها المشتركة، وجوانب الاختلاف
فيها. وعلى الرغم من كثرة هذه المخلوقات واختلافها إلا أنها تشترك في خصائص
الحياة، ويدبر أمرها الله العليم الحكيم بحكمته. ومن هذه المخلوقات
الإنسان. وقد أمرها الله بقوله: وَمَا مِنْ دَابَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ
بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم ما فَرَّطْنَا فِي الكِتَابِ مِنْ شَيْءٍ ثُمَّ إِلَى رَبِّهِمْ يُحْشَرُونَ",ما السبب وراء أهمية التصنيف في دراسة المخلوقات الحية؟,لأنها تتشابه في جميع الخصائص,لأنها كثيرة ومتنوعة,لأنها تعيش في بيئات مختلفة,لأنها جميعاً تتغذى على النبات,B
"ويكتسب التصنيف أهمية خاصة عند دراسة المخلوقات الحية؛ بسبب كثرتها وتنوعها
المذهل، مما يدفع العلماء ليبحثوا في صفاتها المشتركة، وجوانب الاختلاف
فيها. وعلى الرغم من كثرة هذه المخلوقات واختلافها إلا أنها تشترك في خصائص
الحياة، ويدبر أمرها الله العليم الحكيم بحكمته. ومن هذه المخلوقات
الإنسان. وقد أمرها الله بقوله: وَمَا مِنْ دَابَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ
بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم ما فَرَّطْنَا فِي الكِتَابِ مِنْ شَيْءٍ ثُمَّ إِلَى رَبِّهِمْ يُحْشَرُونَ","ماذا يعني قوله تعالى: ""وَمَا مِنْ دَابَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم""؟",أن جميع المخلوقات تتشابه في الشكل,أن جميع المخلوقات لها خصائص الحياة,أن المخلوقات الحية تتبع نظاماً غذائياً واحداً,أن المخلوقات تتواجد في بيئات مختلفة,B
"ويكتسب التصنيف أهمية خاصة عند دراسة المخلوقات الحية؛ بسبب كثرتها وتنوعها
المذهل، مما يدفع العلماء ليبحثوا في صفاتها المشتركة، وجوانب الاختلاف
فيها. وعلى الرغم من كثرة هذه المخلوقات واختلافها إلا أنها تشترك في خصائص
الحياة، ويدبر أمرها الله العليم الحكيم بحكمته. ومن هذه المخلوقات
الإنسان. وقد أمرها الله بقوله: وَمَا مِنْ دَابَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ
بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم ما فَرَّطْنَا فِي الكِتَابِ مِنْ شَيْءٍ ثُمَّ إِلَى رَبِّهِمْ يُحْشَرُونَ",ما الذي يشترك فيه جميع المخلوقات الحية؟,القدرة على الطيران,الخصائص المشتركة للحياة,التغذية على النباتات فقط,التواجد في الماء,B
"[الأنعام: 38]. ونجد في كتاب الله العزيز إشارات إلى تنوع المخلوقات، ومن
بينها طريقة الحركة، مما يدعونا إلى المزيد من البحث في طرائق تصنيفها. قال
تعالى: وَاللَّهُ خَلَقَ كُلَّ دَابَّةٍ مِنْ مَاءٍ فَمِنْهُم مَّن يَمْشِي عَلَى بَطْنِهِ وَمِنْهُم مَّن يَمْشِي عَلَى
رِجْلَيْنِ وَمِنْهُم مَّن يَمْشِي عَلَى أَرْبَعٍ يَخْلُقُ اللَّهُ مَا يَشَاء إِنَّ اللَّهَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ.",ما هي طريقة الحركة التي يشير إليها القرآن الكريم في الآية المذكورة؟,المشي على أربع,السباحة,الطيران,الزحف,A
"[الأنعام: 38]. ونجد في كتاب الله العزيز إشارات إلى تنوع المخلوقات، ومن
بينها طريقة الحركة، مما يدعونا إلى المزيد من البحث في طرائق تصنيفها. قال
تعالى: وَاللَّهُ خَلَقَ كُلَّ دَابَّةٍ مِنْ مَاءٍ فَمِنْهُم مَّن يَمْشِي عَلَى بَطْنِهِ وَمِنْهُم مَّن يَمْشِي عَلَى
رِجْلَيْنِ وَمِنْهُم مَّن يَمْشِي عَلَى أَرْبَعٍ يَخْلُقُ اللَّهُ مَا يَشَاء إِنَّ اللَّهَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ.",من أين خلق الله كل دابة بحسب الآية؟,من الهواء,من التراب,من الماء,من النار,C
"[الأنعام: 38]. ونجد في كتاب الله العزيز إشارات إلى تنوع المخلوقات، ومن
بينها طريقة الحركة، مما يدعونا إلى المزيد من البحث في طرائق تصنيفها. قال
تعالى: وَاللَّهُ خَلَقَ كُلَّ دَابَّةٍ مِنْ مَاءٍ فَمِنْهُم مَّن يَمْشِي عَلَى بَطْنِهِ وَمِنْهُم مَّن يَمْشِي عَلَى
رِجْلَيْنِ وَمِنْهُم مَّن يَمْشِي عَلَى أَرْبَعٍ يَخْلُقُ اللَّهُ مَا يَشَاء إِنَّ اللَّهَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ.",ما هو السبب في تنوع طرق الحركة بين المخلوقات كما ورد في النص؟,اختلاف البيئة,تنوع الأعضاء,اختلاف الحجم,تنوع الغذاء,B
"طوّر الفيلسوف اليوناني أرسطو (322-394 ق. م) نظام تصنيف للمخلوقات الحية
كان اكثر قبولا آنذاك، فقد قسم المخلوقات الحية إلى حيوانات ونباتات، ثم
صنف الحيوانات تبعًا لوجود الدم الأحمر ثم لبيئاتها، وفي مرحلة لاحقة صنفها
حسب اشكالها أما النباتات فقد صنفها حسب حجمها وتركيبها إلى أشجار وشجيرات
وأعشاب. تبيّن في الجدول 1-2 هذا التقسيم لبعض المخلوقات. وعلى الرغم من أن
نظام أرسطو كان مفيدًا من حيث التنظيم، إلا أنه كان قاصرًا في جوانب متعددة:",ما هو النظام الذي طوره الفيلسوف أرسطو لتصنيف المخلوقات الحية؟,تصنيف يعتمد على الألوان,تصنيف يعتمد على نوع الغذاء,تصنيف يعتمد على وجود الدم الأحمر وبيئات المخلوقات,تصنيف يعتمد على حجم المخلوقات فقط,C
"طوّر الفيلسوف اليوناني أرسطو (322-394 ق. م) نظام تصنيف للمخلوقات الحية
كان اكثر قبولا آنذاك، فقد قسم المخلوقات الحية إلى حيوانات ونباتات، ثم
صنف الحيوانات تبعًا لوجود الدم الأحمر ثم لبيئاتها، وفي مرحلة لاحقة صنفها
حسب اشكالها أما النباتات فقد صنفها حسب حجمها وتركيبها إلى أشجار وشجيرات
وأعشاب. تبيّن في الجدول 1-2 هذا التقسيم لبعض المخلوقات. وعلى الرغم من أن
نظام أرسطو كان مفيدًا من حيث التنظيم، إلا أنه كان قاصرًا في جوانب متعددة:",كيف قام أرسطو بتصنيف النباتات؟,حسب بيئتها فقط,حسب حجمها وتركيبها إلى أشجار وشجيرات وأعشاب,حسب لون الأزهار فقط,حسب نوع الثمار فقط,B
"طوّر الفيلسوف اليوناني أرسطو (322-394 ق. م) نظام تصنيف للمخلوقات الحية
كان اكثر قبولا آنذاك، فقد قسم المخلوقات الحية إلى حيوانات ونباتات، ثم
صنف الحيوانات تبعًا لوجود الدم الأحمر ثم لبيئاتها، وفي مرحلة لاحقة صنفها
حسب اشكالها أما النباتات فقد صنفها حسب حجمها وتركيبها إلى أشجار وشجيرات
وأعشاب. تبيّن في الجدول 1-2 هذا التقسيم لبعض المخلوقات. وعلى الرغم من أن
نظام أرسطو كان مفيدًا من حيث التنظيم، إلا أنه كان قاصرًا في جوانب متعددة:",ما هي إحدى نقاط القصور في نظام تصنيف أرسطو؟,كان يعتمد على تصنيف الحيوانات فقط,لم يكن هناك تصنيف للنباتات,كان قاصرًا في جوانب متعددة,كان يعتمد على تصنيف المخلوقات البحرية فقط,C
"فقد بنى أرسطو نظامه على عدد محدود من المخلوقات الحية. وعلى بعض الأسس
البسيطة، لذا لم تجد كثير من المخلوقات مكانا لها في نظام ارسطو، ولا سيما
تلك التي تختلف في بعض صفاتها، ومنها الطيور التي لا تطير، و الضفدع الذي
يعيش في الماء وعلى اليابسة.",ما هو أحد الأسباب التي جعلت بعض المخلوقات الحية لا تجد مكانا في نظام أرسطو؟,اختلاف الصفات,تعدد الأنواع,عدم وجود معلومات كافية,تطوير نظام جديد,A
"فقد بنى أرسطو نظامه على عدد محدود من المخلوقات الحية. وعلى بعض الأسس
البسيطة، لذا لم تجد كثير من المخلوقات مكانا لها في نظام ارسطو، ولا سيما
تلك التي تختلف في بعض صفاتها، ومنها الطيور التي لا تطير، و الضفدع الذي
يعيش في الماء وعلى اليابسة.",أي من المخلوقات الحية المذكورة لم يتم تضمينها في نظام أرسطو؟,الطيور التي لا تطير,الأسماك,الزواحف,الثدييات,A
"فقد بنى أرسطو نظامه على عدد محدود من المخلوقات الحية. وعلى بعض الأسس
البسيطة، لذا لم تجد كثير من المخلوقات مكانا لها في نظام ارسطو، ولا سيما
تلك التي تختلف في بعض صفاتها، ومنها الطيور التي لا تطير، و الضفدع الذي
يعيش في الماء وعلى اليابسة.",ما هو نوع المخلوقات التي أشار إليها أرسطو بشكل خاص في نظامه؟,الحشرات,الطيور,البرمائيات,المخلوقات الحية بشكل عام,D
"نظام أرسطو للنباتات:

١- أشجار: التفاح، البلوط، النخيل.

٢- شجيرات: العليق، التين الشوكي، الياسمين الهندي.

٣- أعشاب: البنفسج، إكليل الجبل، الأبصال.

٢نظام ارسطو للحيوانات ذات الدم الأحمر:

١- اليابسة: الذئب، القطة، الدب.

٢- الماء: الدلفين، البلطي، الشِبَص (سمك بحري).

٣- الهواء: البوم، الخفاش، الغراب.

نظام لينيوس Linnaeus’s System",أي من الأنواع التالية يندرج تحت فئة الأشجار وفقًا لنظام أرسطو؟,التين الشوكي,البلوط,البنفسج,الياسمين الهندي,B
"نظام أرسطو للنباتات:

١- أشجار: التفاح، البلوط، النخيل.

٢- شجيرات: العليق، التين الشوكي، الياسمين الهندي.

٣- أعشاب: البنفسج، إكليل الجبل، الأبصال.

٢نظام ارسطو للحيوانات ذات الدم الأحمر:

١- اليابسة: الذئب، القطة، الدب.

٢- الماء: الدلفين، البلطي، الشِبَص (سمك بحري).

٣- الهواء: البوم، الخفاش، الغراب.

نظام لينيوس Linnaeus’s System",أي من الحيوانات التالية تُصنف كحيوانات ذات دم أحمر تعيش في الماء وفقًا لنظام أرسطو؟,الدب,الذئب,الدلفين,البوم,C
"نظام أرسطو للنباتات:

١- أشجار: التفاح، البلوط، النخيل.

٢- شجيرات: العليق، التين الشوكي، الياسمين الهندي.

٣- أعشاب: البنفسج، إكليل الجبل، الأبصال.

٢نظام ارسطو للحيوانات ذات الدم الأحمر:

١- اليابسة: الذئب، القطة، الدب.

٢- الماء: الدلفين، البلطي، الشِبَص (سمك بحري).

٣- الهواء: البوم، الخفاش، الغراب.

نظام لينيوس Linnaeus’s System",أي من الأنواع التالية يعتبر شجيرة حسب تصنيف أرسطو؟,التفاح,البلطي,العليق,الغراب,C
"في القرن الثامن عشر الميلادي قام العالم السويدي كارلوس لينيوس
(1707-1778م) بتوسيع نظام تصنيف أرسطو، وتحويله إلى نظام علمي. وقد اعتمد
لينيوس في نظامه، كما اعتمد أرسطو، على شكل المخلوق الحي وعلى سلوكه، وذلك
بناء على ملاحظاته. فقد قسم الطيور، على سبيل المثال، إلى ثلاث مجموعات
بناء على سلوكها و البيئة التي تعيش فيها. والطيور المبينة في الشكل 2-1
تمثل المجموعات الثلاث. فقد صنف العقاب مع الطيور المفترسة، وصنف مالك
الحزين مع الطيور التي تخوض الماء، بينما وضع طائر الحسون مع الطيور",ما هو النظام الذي قام كارلوس لينيوس بتوسيعه في القرن الثامن عشر؟,نظام تصنيف أرسطو,نظام تصنيف داروين,نظام تصنيف ماندل,نظام تصنيف جريجور مندل,A
"في القرن الثامن عشر الميلادي قام العالم السويدي كارلوس لينيوس
(1707-1778م) بتوسيع نظام تصنيف أرسطو، وتحويله إلى نظام علمي. وقد اعتمد
لينيوس في نظامه، كما اعتمد أرسطو، على شكل المخلوق الحي وعلى سلوكه، وذلك
بناء على ملاحظاته. فقد قسم الطيور، على سبيل المثال، إلى ثلاث مجموعات
بناء على سلوكها و البيئة التي تعيش فيها. والطيور المبينة في الشكل 2-1
تمثل المجموعات الثلاث. فقد صنف العقاب مع الطيور المفترسة، وصنف مالك
الحزين مع الطيور التي تخوض الماء، بينما وضع طائر الحسون مع الطيور",على أي أساس قام لينيوس بتصنيف الطيور؟,على أساس شكلها فقط,على أساس سلوكها وبيئتها,على أساس حجمها,على أساس لونها,B
"في القرن الثامن عشر الميلادي قام العالم السويدي كارلوس لينيوس
(1707-1778م) بتوسيع نظام تصنيف أرسطو، وتحويله إلى نظام علمي. وقد اعتمد
لينيوس في نظامه، كما اعتمد أرسطو، على شكل المخلوق الحي وعلى سلوكه، وذلك
بناء على ملاحظاته. فقد قسم الطيور، على سبيل المثال، إلى ثلاث مجموعات
بناء على سلوكها و البيئة التي تعيش فيها. والطيور المبينة في الشكل 2-1
تمثل المجموعات الثلاث. فقد صنف العقاب مع الطيور المفترسة، وصنف مالك
الحزين مع الطيور التي تخوض الماء، بينما وضع طائر الحسون مع الطيور",ما هي المجموعات التي صنفها لينيوس للطيور؟,الطيور المائية، الطيور الجارحة، الطيور المغردة,الطيور الجارحة، الطيور المغردة، الطيور الليلية,الطيور الجارحة، الطيور المائية، الطيور البرية,الطيور المغردة، الطيور المائية، الطيور الجارحة,A
"الجاثمة. ومنذ ذلك التاريخ اعتمد نظام لينيوس باعتباره أول نظام للتصنيف.
إن علم التصنيف taxonomy هو أحد فروع علم الأحياء التي تهتم بتعريف الأنواع
وتسميتها وتصنيفها بناءً على صفاتها وعلى العلاقات الطبيعية بينها.",ما هو علم التصنيف الذي يهتم بتعريف الأنواع وتسميتها؟,علم الوراثة,علم الأحياء البحرية,علم التصنيف,علم الفيروسات,C
"الجاثمة. ومنذ ذلك التاريخ اعتمد نظام لينيوس باعتباره أول نظام للتصنيف.
إن علم التصنيف taxonomy هو أحد فروع علم الأحياء التي تهتم بتعريف الأنواع
وتسميتها وتصنيفها بناءً على صفاتها وعلى العلاقات الطبيعية بينها.",من هو مؤسس نظام التصنيف الذي اعتمد لأول مرة؟,داروين,لينيوس,أرسطو,لامارك,B
"الجاثمة. ومنذ ذلك التاريخ اعتمد نظام لينيوس باعتباره أول نظام للتصنيف.
إن علم التصنيف taxonomy هو أحد فروع علم الأحياء التي تهتم بتعريف الأنواع
وتسميتها وتصنيفها بناءً على صفاتها وعلى العلاقات الطبيعية بينها.",ما هي العلاقة التي يعتمد عليها علم التصنيف بين الأنواع؟,التشابه في الشكل فقط,العلاقات الطبيعية,التوزيع الجغرافي,التغيرات المناخية,B
"التسمية الثنائية

طريقة لينيوس في تسمية المخلوقات التي تسمى التسمية الثنائية (binomial
nomenclature) هي التي ميزت نظامه من نظام أرسطو، وأبقتـه قائمـًا مستقلاً
حتـى اليوم. التسمية الثنائية تعطي كل نوع اسمـًا علميـًا مكوَّنـًا من جزأين:
الأول يدل على اسم الجنس، والثاني يدل على اسم النوع الذي يحدد هوية
المخلوق الحي. وقد استُخدمت اللغة اللاتينية أساسـًا للتسمية الثنائية؛ لأنها
كانت لغة العلم والعلماء في ذلك الوقت.",ما هي اللغة المستخدمة في التسمية الثنائية للمخلوقات الحية؟,الإغريقية,اللاتينية,العربية,الفرنسية,B
"التسمية الثنائية

طريقة لينيوس في تسمية المخلوقات التي تسمى التسمية الثنائية (binomial
nomenclature) هي التي ميزت نظامه من نظام أرسطو، وأبقتـه قائمـًا مستقلاً
حتـى اليوم. التسمية الثنائية تعطي كل نوع اسمـًا علميـًا مكوَّنـًا من جزأين:
الأول يدل على اسم الجنس، والثاني يدل على اسم النوع الذي يحدد هوية
المخلوق الحي. وقد استُخدمت اللغة اللاتينية أساسـًا للتسمية الثنائية؛ لأنها
كانت لغة العلم والعلماء في ذلك الوقت.",ما هو الجزء الأول من الاسم العلمي في التسمية الثنائية؟,اسم النوع,اسم الجنس,اسم العائلة,اسم السلالة,B
"التسمية الثنائية

طريقة لينيوس في تسمية المخلوقات التي تسمى التسمية الثنائية (binomial
nomenclature) هي التي ميزت نظامه من نظام أرسطو، وأبقتـه قائمـًا مستقلاً
حتـى اليوم. التسمية الثنائية تعطي كل نوع اسمـًا علميـًا مكوَّنـًا من جزأين:
الأول يدل على اسم الجنس، والثاني يدل على اسم النوع الذي يحدد هوية
المخلوق الحي. وقد استُخدمت اللغة اللاتينية أساسـًا للتسمية الثنائية؛ لأنها
كانت لغة العلم والعلماء في ذلك الوقت.",ما الذي يميز نظام التسمية الثنائية عن نظام أرسطو؟,استخدام اسم واحد فقط,تكوين الاسم من جزأين,تسمية المخلوقات حسب الشكل,تسمية المخلوقات حسب اللون,B
"يستخدم علماء الأحياء الأسماء العلمية للأنواع؛ معًا للبس الذي قد ينشأ عن
استخدام الأسماء الشائعة والعامية التي تختلف عند استخدامها من مكان إلى
آخر. فالطائر المبين في الشكل 2-2 غالبـًا ما يسمى ""القنبرة المتوجة""، ولكنه
يسمى أحيانـًا بالقوبعة والقبّرة وأم عريف وغيرها. لذا أطلق عليه أحد علماء
الأحياء اسمًا علميـًا هو Cardinalis cristata. وهكذا لم يعد أحد من علماء
الأحياء أيختلفوا في الطائر الذي يشار إليه بهذا الاسم. إن التسمية
الثنائية مفيدة أيضـًا في تفادي سوء الفهم الذي يمكن أن تقود إليه الأسماء","ما هو الاسم العلمي للطائر المعروف باسم ""القنبرة المتوجة""؟",Cardinalis cristata,Alauda arvensis,Sturnus vulgaris,Emberiza citrinella,A
"يستخدم علماء الأحياء الأسماء العلمية للأنواع؛ معًا للبس الذي قد ينشأ عن
استخدام الأسماء الشائعة والعامية التي تختلف عند استخدامها من مكان إلى
آخر. فالطائر المبين في الشكل 2-2 غالبـًا ما يسمى ""القنبرة المتوجة""، ولكنه
يسمى أحيانـًا بالقوبعة والقبّرة وأم عريف وغيرها. لذا أطلق عليه أحد علماء
الأحياء اسمًا علميـًا هو Cardinalis cristata. وهكذا لم يعد أحد من علماء
الأحياء أيختلفوا في الطائر الذي يشار إليه بهذا الاسم. إن التسمية
الثنائية مفيدة أيضـًا في تفادي سوء الفهم الذي يمكن أن تقود إليه الأسماء",لماذا يستخدم العلماء الأسماء العلمية للأنواع؟,لتفادي اللبس الناتج عن الأسماء الشائعة,لزيادة تعقيد الأسماء,للتقليل من المعلومات المتاحة,لتمثيل الأنواع بشكل غير دقيق,A
